archivo,fuente,url,fecha_descarga,sha256,sha256_norm,tamano_bytes,codigo_http,vintage_id,publicacion_id
BCR_pib_t_indices_volumen_nsa_2026-08-06.xlsx,BCR,https://estadisticas.bcr.gob.sv/serie/pib-t-produccion-y-gasto-indices-de-volumen-encadenados-serie-original-referencia-2014-indices-de-volumen-encadenados,2026-08-06,418ed74c1d4b3a402f3d9caaf3014fb6fae2d637527215b7846652ffa03f4a2c,e34cf43b737587c9891d9d1402f620f06f56f997372f3d4596212e2c5fa8acaa,92137,200,BCR.PIB_T.INDICES_VOLUMEN_ENCADENADOS_NSA.v2026-06,BCR.PIB_T.INDICES_VOLUMEN_ENCADENADOS_NSA
BCR_pib_t_indices_volumen_sa_2026-08-06.xlsx,BCR,https://estadisticas.bcr.gob.sv/serie/pib-t-produccion-y-gasto-indices-de-volumen-encadenados-serie-desestacionalizada-referencia-2014-indices-de-volumen-encadenado,2026-08-06,0405d5874d99a394880b2cac7f4aa42f4cd420a24dea4852e0cc31f283925d82,a636afc70a83b75be00643780b7e8091e44efafacdb911941e2a33a6c94b1625,91878,200,BCR.PIB_T.INDICES_VOLUMEN_ENCADENADOS_SA.v2026-06,BCR.PIB_T.INDICES_VOLUMEN_ENCADENADOS_SA
BCR_pib_t_retropolado_1990_2005_2026-08-06.xlsx,BCR,https://www.bcr.gob.sv/documental/Inicio/descarga/d5abd29f13de28151f5ba6dde48db506.xlsx,2026-08-06,df9f21b5b0f627fe60957c2e117f83473ed634ff4c083bab040bf25be8dbccbe,924f8cf7dcbbd009ab6b4df94e4211029b5f7d125dacaa30df7864cd6c41dab0,143565,200,BCR.PIB_T.SERIE_RETROPOLADA_1990_2005.v2019-03,BCR.PIB_T.SERIE_RETROPOLADA_1990_2005
BCR_pib_t_nominal_2026-08-15.xlsx,BCR,https://estadisticas.bcr.gob.sv/serie/producto-interno-bruto-trimestral-pib-t-produccion-y-gasto-a-precios-corrientes-en-millones-de-us,2026-08-15,9b7416015adec575c5cc8d8bdd3beec932ee50061f038a46f5282e1bc272cf65,f6bcfcac851f38f5e3645c6f82d99d5c387196f2f2f7e9fdfd3d12d37c3a395b,95906,200,BCR.PIB_T.NOMINAL.v2026-06,BCR.PIB_T.NOMINAL
"BCR_ivae_vigente_2026-08-25.xlsx","BCR","https://estadisticas.bcr.gob.sv/serie/indice-de-volumen-de-la-actividad-economica-ivae-serie-desestacionalizada","2026-08-25","482c6f033754d8c174c7b2b9f6845c6379f10296a7296ea950e1a4dcd6f4e1fe","72a6766f7683b8456535817d8b94c7e281cfc3af86aff253993c6069b0e8ace3","94843","200","BCR.IVAE.VIGENTE.v2026-07","BCR.IVAE.VIGENTE"
"BCR_ipi_vigente_2026-08-26.xlsx","BCR","https://estadisticas.bcr.gob.sv/serie/indice-de-produccion-industrial-serie-desestacionalizada","2026-08-26","ff41f182c641873a1b9c91ad83e62bf35eb1d6a1db69257484220abf4143734b","c88cb93c5074d0fa9d0e059156382eb86e5e596d7cb5701f2a6d2667e0489b42","31323","200","BCR.IPI.VIGENTE.v2026-08","BCR.IPI.VIGENTE"
"BCR_ipp_2026-08-26.xlsx","BCR","https://estadisticas.bcr.gob.sv/serie/indice-de-precios-al-productor-ipp","2026-08-26","1949c55a464f87c55e2703610e7ec9af1616ae7541f579688fd0fca09ca70eec","71656431a097c5c8bd4b99c19b01b757888bd4e1cb3a76935c524e3514ad2a16","103649","200","BCR.IPP.v2026-08","BCR.IPP"
"BCR_isi_2026-08-26.xlsx","BCR","https://estadisticas.bcr.gob.sv/serie/indice-subyacente-de-inflacion-isi-base-dic-2009","2026-08-26","7cd1ac8ca9f655a4fe361d065291b746dd51de21358e4cd9b856b9cd4bb12d89","8a98a0fa1e209e4ca2d34f9b0f2862b9eac703ef3c0783bbea6765c850718413","26205","200","BCR.ISI.v2026-08","BCR.ISI"
"BCR_itcer_2026-08-26.xlsx","BCR","https://estadisticas.bcr.gob.sv/serie/indice-de-tipo-de-cambio-efectivo-real-mensual","2026-08-26","0e675be1b357ffe0792d656b558cba7e0f1c3719063efb0b92669882d046173a","34ce75cfc365ec14502c937dd99622bcac16ff0b6e7a2bc80150ea9572d8f2cd","53263","200","BCR.ITCER.v2026-07","BCR.ITCER"
"BCR_panorama_banco_central_2026-08-26.xlsx","BCR","https://estadisticas.bcr.gob.sv/serie/panorama-del-banco-central","2026-08-26","9dba770d21fd960bcb39f5542ca80afcdcf2b500269461d7eced2d2a19665f53","4582fc9ae0b5ed57a69e6ce17bb1ea99dcd460dce13b9655413dfa02260a56eb","238241","200","BCR.PANORAMA_BANCO_CENTRAL.v2026-08","BCR.PANORAMA_BANCO_CENTRAL"
