serie_id,publicacion_id,nombre_oficial,concepto,freq,unit_measure,unit_mult,adjustment,base_year,metodologia_id,inicio,fin,fuente_celda,notas,anio_referencia_indice
BCR.PIB.VOL.NSA.Q,BCR.PIB_T.INDICES_VOLUMEN_ENCADENADOS_NSA,"PIB trimestral, índices de volumen encadenados, serie original","PIB real (volumen), precios constantes",Q,índice de volumen encadenado,,NSA,2005,SCN2008,2005-Q1,2026-Q1,"hoja worksheet, fila 28 (""23 Producto Interno Bruto trimestral por el enfoque de la producción""), rango B28:CH28; idéntica a fila 36 (enfoque del gasto) rango B36:CH36; encabezados de columna: años en fila 4, trimestres en fila 5","Insumo directo de PIB.SA.PROPIO.Q en 05_series_master.csv — junto con BCR.PIB.VOL.NSA.Q.RETRO, es la serie sobre la que se construye la variable objetivo primaria mediante ajuste estacional propio (ver ADR-001, enmienda 2026-08-07). El archivo fuente no declara ""año base"" como texto explícito (base_year=2005 tomado del nombre de la publicación en el portal, no de una celda del archivo). Marca banderas de revisión por columna: 2012-Q1/2013-Q4 y 2020-Q1/2020-Q4 = (r) revisadas; 2024-Q1/2024-Q4 = (p) preliminares; 2025-Q1/2026-Q1 = (e) estimadas — los últimos 5 trimestres de la serie son estimación del BCR, no cifra observada final.",2014
BCR.PIB.VOL.SA.Q,BCR.PIB_T.INDICES_VOLUMEN_ENCADENADOS_SA,"PIB trimestral, índices de volumen encadenados, serie desestacionalizada","PIB real (volumen), precios constantes",Q,índice de volumen encadenado,,SA,2005,SCN2008,2005-Q1,2026-Q1,"hoja worksheet, fila 28 (""23 Producto Interno Bruto trimestral por el enfoque de la producción""), rango B28:CH28; idéntica a fila 36 (enfoque del gasto) rango B36:CH36; encabezados de columna: años en fila 4, trimestres en fila 5","Antes variable objetivo primaria en ADR-001 original; rol invertido tras hallazgo de cobertura (enmienda 2026-08-07) — no cubre 1990-2005, por lo que ahora es insumo de verificación de robustez (ver ADR-001 y PIB.SA.OFICIAL.Q en 05_series_master.csv), contrastada contra la variable objetivo primaria en el tramo de superposición 2005-2026. Archivo descargado manualmente por Harold — la descarga automatizada devuelve la página HTML interactiva del portal, no el archivo (ver notas de la publicación). El archivo fuente no declara ""año base"" como texto explícito (base_year=2005 tomado del nombre de la publicación en el portal, no de una celda del archivo). Marca banderas de revisión por columna, mismo patrón que la serie NSA: 2012-Q1/2013-Q4 y 2020-Q1/2020-Q4 = (r) revisadas; 2024-Q1/2024-Q4 = (p) preliminares; 2025-Q1/2026-Q1 = (e) estimadas — los últimos 5 trimestres de la serie son estimación del BCR, no cifra observada final.",2014
BCR.PIB.VOL.NSA.Q.RETRO,BCR.PIB_T.SERIE_RETROPOLADA_1990_2005,"PIB trimestral retropolado, índices de volumen encadenados","PIB real (volumen), precios constantes",Q,índice de volumen encadenado,,NSA,2005,SCN2008,1990-Q1,2005-Q4,"hoja T2, fila 24 (""PRODUCTO INTERNO BRUTO TRIMESTRAL"", enfoque producción; ≡ fila 32, enfoque gasto), columnas C:BN; años en fila 7, trimestres en fila 8. CORREGIDO 2026-08-13: la versión anterior citaba fila 23 (Impuestos Netos) y fila 31 (Importaciones de Bienes y Servicios); ambos números estaban desplazados en una unidad respecto de los totales del PIB, verificado contra el XML crudo del archivo","Empalme exacto con BCR.PIB.VOL.NSA.Q en el tramo de superposición 2005-T1/2005-T4 (verificado por Claude Code, 2026-08-07). Nombre de archivo original ('1990-2004.xlsx') no coincide con la cobertura real del contenido (1990-2005) — no corregir el archivo, solo documentarlo aquí. Reverificado el 2026-08-13 contra la fila 24, que es la correcta.",2014
BCR.CONSUMO_FINAL.VOL.NSA.Q.RETRO,BCR.PIB_T.SERIE_RETROPOLADA_1990_2005,Gasto de Consumo Final,"Gasto de consumo final (volumen), precios constantes",Q,índice de volumen encadenado,,NSA,2005,SCN2008,1990-Q1,2005-Q4,"hoja T2, fila 26 (""Gasto de Consumo Final""), columnas C:BN; años en fila 7, trimestres en fila 8","Serie en índices de volumen encadenados: los componentes NO suman aritméticamente al total del PIB. Verificado el 2026-08-13 sobre el archivo fuente (2025-Q4: la suma de componentes da 480.67 frente a un PIB de 137.58). Es la propiedad esperada del encadenamiento bajo SCN 2008 — cada componente se encadena de forma independiente — y no un defecto del archivo. Para cualquier cálculo de participaciones o ponderaciones deben usarse las series NOM en precios corrientes, que sí son aditivas. Registrada como serie separada de su equivalente vigente, siguiendo el precedente de BCR.PIB.VOL.NSA.Q.RETRO. El empalme entre ambas, si se realiza, corresponde a 04_transformaciones y 05_series_master, no a este catálogo. Cobertura y ubicación de celda verificadas por lectura directa del archivo de L0_raw el 2026-08-13, con checksum confirmado contra manifiesto.csv y números de fila comprobados contra el XML crudo del .xlsx. Registrada en cumplimiento del criterio de 03_series como inventario de todo lo publicado (no solo de lo que el proyecto usa). No hay decisión tomada sobre su uso en modelación.",2014
BCR.CONSUMO_PRIV.VOL.NSA.Q.RETRO,BCR.PIB_T.SERIE_RETROPOLADA_1990_2005,Consumo Privado,"Consumo privado (volumen), precios constantes",Q,índice de volumen encadenado,,NSA,2005,SCN2008,1990-Q1,2005-Q4,"hoja T2, fila 27 (""Consumo Privado""), columnas C:BN; años en fila 7, trimestres en fila 8","Serie en índices de volumen encadenados: los componentes NO suman aritméticamente al total del PIB. Verificado el 2026-08-13 sobre el archivo fuente (2025-Q4: la suma de componentes da 480.67 frente a un PIB de 137.58). Es la propiedad esperada del encadenamiento bajo SCN 2008 — cada componente se encadena de forma independiente — y no un defecto del archivo. Para cualquier cálculo de participaciones o ponderaciones deben usarse las series NOM en precios corrientes, que sí son aditivas. Registrada como serie separada de su equivalente vigente, siguiendo el precedente de BCR.PIB.VOL.NSA.Q.RETRO. El empalme entre ambas, si se realiza, corresponde a 04_transformaciones y 05_series_master, no a este catálogo. Cobertura y ubicación de celda verificadas por lectura directa del archivo de L0_raw el 2026-08-13, con checksum confirmado contra manifiesto.csv y números de fila comprobados contra el XML crudo del .xlsx. Registrada en cumplimiento del criterio de 03_series como inventario de todo lo publicado (no solo de lo que el proyecto usa). No hay decisión tomada sobre su uso en modelación.",2014
BCR.CONSUMO_PUB.VOL.NSA.Q.RETRO,BCR.PIB_T.SERIE_RETROPOLADA_1990_2005,Consumo Público,"Consumo público (volumen), precios constantes",Q,índice de volumen encadenado,,NSA,2005,SCN2008,1990-Q1,2005-Q4,"hoja T2, fila 28 (""Consumo Público""), columnas C:BN; años en fila 7, trimestres en fila 8","Serie en índices de volumen encadenados: los componentes NO suman aritméticamente al total del PIB. Verificado el 2026-08-13 sobre el archivo fuente (2025-Q4: la suma de componentes da 480.67 frente a un PIB de 137.58). Es la propiedad esperada del encadenamiento bajo SCN 2008 — cada componente se encadena de forma independiente — y no un defecto del archivo. Para cualquier cálculo de participaciones o ponderaciones deben usarse las series NOM en precios corrientes, que sí son aditivas. Registrada como serie separada de su equivalente vigente, siguiendo el precedente de BCR.PIB.VOL.NSA.Q.RETRO. El empalme entre ambas, si se realiza, corresponde a 04_transformaciones y 05_series_master, no a este catálogo. Cobertura y ubicación de celda verificadas por lectura directa del archivo de L0_raw el 2026-08-13, con checksum confirmado contra manifiesto.csv y números de fila comprobados contra el XML crudo del .xlsx. Registrada en cumplimiento del criterio de 03_series como inventario de todo lo publicado (no solo de lo que el proyecto usa). No hay decisión tomada sobre su uso en modelación.",2014
BCR.FBKF.VOL.NSA.Q.RETRO,BCR.PIB_T.SERIE_RETROPOLADA_1990_2005,Formación Bruta de Capital Fijo,"Formación bruta de capital fijo (volumen), precios constantes",Q,índice de volumen encadenado,,NSA,2005,SCN2008,1990-Q1,2005-Q4,"hoja T2, fila 29 (""Formación Bruta de Capital Fijo 2/""), columnas C:BN; años en fila 7, trimestres en fila 8","Serie en índices de volumen encadenados: los componentes NO suman aritméticamente al total del PIB. Verificado el 2026-08-13 sobre el archivo fuente (2025-Q4: la suma de componentes da 480.67 frente a un PIB de 137.58). Es la propiedad esperada del encadenamiento bajo SCN 2008 — cada componente se encadena de forma independiente — y no un defecto del archivo. Para cualquier cálculo de participaciones o ponderaciones deben usarse las series NOM en precios corrientes, que sí son aditivas. Registrada como serie separada de su equivalente vigente, siguiendo el precedente de BCR.PIB.VOL.NSA.Q.RETRO. El empalme entre ambas, si se realiza, corresponde a 04_transformaciones y 05_series_master, no a este catálogo. Cobertura y ubicación de celda verificadas por lectura directa del archivo de L0_raw el 2026-08-13, con checksum confirmado contra manifiesto.csv y números de fila comprobados contra el XML crudo del .xlsx. Registrada en cumplimiento del criterio de 03_series como inventario de todo lo publicado (no solo de lo que el proyecto usa). No hay decisión tomada sobre su uso en modelación.",2014
BCR.EXPORT.VOL.NSA.Q.RETRO,BCR.PIB_T.SERIE_RETROPOLADA_1990_2005,Exportaciones de Bienes y Servicios,"Exportaciones de bienes y servicios (volumen), precios constantes",Q,índice de volumen encadenado,,NSA,2005,SCN2008,1990-Q1,2005-Q4,"hoja T2, fila 30 (""Exportaciones de Bienes y Servicios""), columnas C:BN; años en fila 7, trimestres en fila 8","Serie en índices de volumen encadenados: los componentes NO suman aritméticamente al total del PIB. Verificado el 2026-08-13 sobre el archivo fuente (2025-Q4: la suma de componentes da 480.67 frente a un PIB de 137.58). Es la propiedad esperada del encadenamiento bajo SCN 2008 — cada componente se encadena de forma independiente — y no un defecto del archivo. Para cualquier cálculo de participaciones o ponderaciones deben usarse las series NOM en precios corrientes, que sí son aditivas. Registrada como serie separada de su equivalente vigente, siguiendo el precedente de BCR.PIB.VOL.NSA.Q.RETRO. El empalme entre ambas, si se realiza, corresponde a 04_transformaciones y 05_series_master, no a este catálogo. Cobertura y ubicación de celda verificadas por lectura directa del archivo de L0_raw el 2026-08-13, con checksum confirmado contra manifiesto.csv y números de fila comprobados contra el XML crudo del .xlsx. Registrada en cumplimiento del criterio de 03_series como inventario de todo lo publicado (no solo de lo que el proyecto usa). No hay decisión tomada sobre su uso en modelación.",2014
BCR.IMPORT.VOL.NSA.Q.RETRO,BCR.PIB_T.SERIE_RETROPOLADA_1990_2005,Importaciones de Bienes y Servicios,"Importaciones de bienes y servicios (volumen), precios constantes",Q,índice de volumen encadenado,,NSA,2005,SCN2008,1990-Q1,2005-Q4,"hoja T2, fila 31 (""Importaciones de Bienes y Servicios""), columnas C:BN; años en fila 7, trimestres en fila 8","Serie en índices de volumen encadenados: los componentes NO suman aritméticamente al total del PIB. Verificado el 2026-08-13 sobre el archivo fuente (2025-Q4: la suma de componentes da 480.67 frente a un PIB de 137.58). Es la propiedad esperada del encadenamiento bajo SCN 2008 — cada componente se encadena de forma independiente — y no un defecto del archivo. Para cualquier cálculo de participaciones o ponderaciones deben usarse las series NOM en precios corrientes, que sí son aditivas. Registrada como serie separada de su equivalente vigente, siguiendo el precedente de BCR.PIB.VOL.NSA.Q.RETRO. El empalme entre ambas, si se realiza, corresponde a 04_transformaciones y 05_series_master, no a este catálogo. Cobertura y ubicación de celda verificadas por lectura directa del archivo de L0_raw el 2026-08-13, con checksum confirmado contra manifiesto.csv y números de fila comprobados contra el XML crudo del .xlsx. Registrada en cumplimiento del criterio de 03_series como inventario de todo lo publicado (no solo de lo que el proyecto usa). No hay decisión tomada sobre su uso en modelación.",2014
BCR.CONSUMO_FINAL.NOM.NSA.Q.RETRO,BCR.PIB_T.SERIE_RETROPOLADA_1990_2005,Gasto de Consumo Final,"Gasto de consumo final, precios corrientes",Q,dólares corrientes,6,NSA,2005,SCN2008,1990-Q1,2005-Q4,"hoja T1, fila 27 (""Gasto de Consumo Final""), columnas C:BN; años en fila 8, trimestres en fila 9","Registrada como serie separada de su equivalente vigente, siguiendo el precedente de BCR.PIB.VOL.NSA.Q.RETRO. El empalme entre ambas, si se realiza, corresponde a 04_transformaciones y 05_series_master, no a este catálogo. Cobertura y ubicación de celda verificadas por lectura directa del archivo de L0_raw el 2026-08-13, con checksum confirmado contra manifiesto.csv y números de fila comprobados contra el XML crudo del .xlsx. Registrada en cumplimiento del criterio de 03_series como inventario de todo lo publicado (no solo de lo que el proyecto usa). No hay decisión tomada sobre su uso en modelación.",
