vintage_id,publicacion_id,fecha_publicacion,periodo_referencia_max,documento_fuente,archivo_raw,sha256,sha256_norm,alcance_revision,notas
BCR.PIB_T.INDICES_VOLUMEN_ENCADENADOS_NSA.v2026-06,BCR.PIB_T.INDICES_VOLUMEN_ENCADENADOS_NSA,2026-06-01,2026-T1,https://estadisticas.bcr.gob.sv/serie/pib-t-produccion-y-gasto-indices-de-volumen-encadenados-serie-original-referencia-2014-indices-de-volumen-encadenados,BCR_pib_t_indices_volumen_nsa_2026-08-06.xlsx,418ed74c1d4b3a402f3d9caaf3014fb6fae2d637527215b7846652ffa03f4a2c,e34cf43b737587c9891d9d1402f620f06f56f997372f3d4596212e2c5fa8acaa,primera captura — sin vintage previo con el cual comparar,"fecha_publicacion aproximada al mes reportado por el usuario (2026-06); se usa el día 1 como convención de formato. El propio archivo marca 2024-T1/2024-T4 como preliminar (p) y 2025-T1/2026-T1 como estimado (e) — no son cifras finales pese a estar dentro de este vintage. Normalización 2026-08-20: el vintage_id era BCR.PIB_T.INDICES_VOLUMEN_ENCADENADOS.v2026-06; la cadena base omitía el sufijo _NSA de su propio publicacion_id. Convención en ADR-007, nota de seguimiento 2026-08-20."
BCR.PIB_T.INDICES_VOLUMEN_ENCADENADOS_SA.v2026-06,BCR.PIB_T.INDICES_VOLUMEN_ENCADENADOS_SA,2026-06-01,2026-T1,https://estadisticas.bcr.gob.sv/serie/pib-t-produccion-y-gasto-indices-de-volumen-encadenados-serie-desestacionalizada-referencia-2014-indices-de-volumen-encadenado,BCR_pib_t_indices_volumen_sa_2026-08-06.xlsx,0405d5874d99a394880b2cac7f4aa42f4cd420a24dea4852e0cc31f283925d82,a636afc70a83b75be00643780b7e8091e44efafacdb911941e2a33a6c94b1625,primera captura — sin vintage previo con el cual comparar,"Misma fecha_publicacion que la fila NSA (ambas variantes se publican juntas en el mismo portal), pero desde M3 (2026-08-08) cada variante tiene su propio publicacion_id — ver BCR.PIB_T.INDICES_VOLUMEN_ENCADENADOS_SA.yaml. Archivo distinto con checksum propio. ADR-007 liga vintage_id a cada evento de publicación archivado en L0, uno por archivo. Normalización 2026-08-20: el vintage_id era BCR.PIB_T.INDICES_VOLUMEN_ENCADENADOS.v2026-06-SA; el sufijo -SA existía porque la cadena base omitía la variante, y desde M3 (2026-08-08) cada variante tiene publicacion_id propio, de modo que el sufijo pasó a ser redundante. Normalizarlo completa M3, no revierte nada. Convención en ADR-007, nota de seguimiento 2026-08-20. Descargado manualmente por Harold (ver notas de 03_series)."
BCR.PIB_T.SERIE_RETROPOLADA_1990_2005.v2019-03,BCR.PIB_T.SERIE_RETROPOLADA_1990_2005,,2005-T4,https://www.bcr.gob.sv/documental/Inicio/descarga/d5abd29f13de28151f5ba6dde48db506.xlsx,BCR_pib_t_retropolado_1990_2005_2026-08-06.xlsx,df9f21b5b0f627fe60957c2e117f83473ed634ff4c083bab040bf25be8dbccbe,924f8cf7dcbbd009ab6b4df94e4211029b5f7d125dacaa30df7864cd6c41dab0,primera captura — sin vintage previo con el cual comparar,"vintage_id usa la fecha de última modificación del archivo (2019-03) como aproximación, no como fecha de publicación confirmada. El nombre de archivo original dice ""1990-2004"" pero el contenido interno (título de hoja y empalme exacto de valores en 2005-T1/T4 con la serie NSA nativa) confirma cobertura real 1990-T1/2005-T4."
BCR.PIB_T.NOMINAL.v2026-06,BCR.PIB_T.NOMINAL,2026-06-01,2026-T1,https://estadisticas.bcr.gob.sv/serie/producto-interno-bruto-trimestral-pib-t-produccion-y-gasto-a-precios-corrientes-en-millones-de-us,BCR_pib_t_nominal_2026-08-15.xlsx,9b7416015adec575c5cc8d8bdd3beec932ee50061f038a46f5282e1bc272cf65,f6bcfcac851f38f5e3645c6f82d99d5c387196f2f2f7e9fdfd3d12d37c3a395b,primera captura — sin vintage previo con el cual comparar,"Cuarta captura de L0 y primera de una publicación en precios corrientes. Se asigna el mismo v2026-06 que las variantes de índices de volumen porque el portal publica las tres juntas en el mismo ciclo; verificar contra el propio archivo si declara una fecha distinta y corregir en tal caso. Descargado manualmente por Harold — excepción documentada en la regla 1 de CLAUDE.md y en ADR-007, no violación silenciosa."
"BCR.IVAE.VIGENTE.v2026-07","BCR.IVAE.VIGENTE","2026-07-01","2026-M05","https://estadisticas.bcr.gob.sv/serie/indice-de-volumen-de-la-actividad-economica-ivae-serie-desestacionalizada","BCR_ivae_vigente_2026-08-25.xlsx","482c6f033754d8c174c7b2b9f6845c6379f10296a7296ea950e1a4dcd6f4e1fe","72a6766f7683b8456535817d8b94c7e281cfc3af86aff253993c6069b0e8ace3","primera captura — sin vintage previo con el cual comparar","fecha_publicacion NO observada directamente en la fuente (verificado en vivo 2026-08-25: la página solo expone 'Datos actualizados hasta: Mayo 2026' -cobertura, no fecha de publicación- y 'Próxima fecha de publicación: 31 agosto 2026' -la SIGUIENTE, no la del vintage capturado). Se aproxima por el patrón de rezago del propio calendario del BCR (doc/calendario_divulgacion_bcr.csv: publicación de agosto cubre referencia 2026-06, rezago de 2 meses); con periodo_referencia_max = 2026-M05, el ciclo que la publicó cae ~julio 2026. Aproximada a 2026-07-01 (mes, día 01 por convención - mismo patrón que .bcr_nota_fecha_aproximada). Decisión de Harold, 2026-08-25 (handoff Fase 2, Bloque 2, Paso 2.4): usar la fecha del ciclo anterior inferida por patrón, no la próxima fecha anunciada."
"BCR.IPI.VIGENTE.v2026-08","BCR.IPI.VIGENTE","2026-08-01","2026-M06","https://estadisticas.bcr.gob.sv/serie/indice-de-produccion-industrial-serie-desestacionalizada","BCR_ipi_vigente_2026-08-26.xlsx","ff41f182c641873a1b9c91ad83e62bf35eb1d6a1db69257484220abf4143734b","c88cb93c5074d0fa9d0e059156382eb86e5e596d7cb5701f2a6d2667e0489b42","primera captura — sin vintage previo con el cual comparar","fecha_publicacion NO observada directamente en la fuente (mismo patron que BCR.IVAE.VIGENTE, ver .bcr_nota_ivae_vigente_fecha). Se aproxima por el rezago del calendario del BCR (doc/calendario_divulgacion_bcr.csv: IPI, fila 'Agosto',10 -> periodo_referencia 2026-06 (rezago 2 meses)); con periodo_referencia_max = 2026-M06, capturado el 2026-08-26, el ciclo que la publico cae ~2026-08-01. Aproximada a esa fecha (mes, dia 01 por convencion). Decision de Harold, 2026-08-25 (handoff Fase 2, Bloque 3): mismo patron de aproximacion que IVAE, aplicado a esta publicacion especifica."
"BCR.IPP.v2026-08","BCR.IPP","2026-08-01","2026-M07","https://estadisticas.bcr.gob.sv/serie/indice-de-precios-al-productor-ipp","BCR_ipp_2026-08-26.xlsx","1949c55a464f87c55e2703610e7ec9af1616ae7541f579688fd0fca09ca70eec","71656431a097c5c8bd4b99c19b01b757888bd4e1cb3a76935c524e3514ad2a16","primera captura — sin vintage previo con el cual comparar","fecha_publicacion NO observada directamente en la fuente (mismo patron que BCR.IVAE.VIGENTE, ver .bcr_nota_ivae_vigente_fecha). Se aproxima por el rezago del calendario del BCR (doc/calendario_divulgacion_bcr.csv: IPP, fila 'Agosto',18 -> periodo_referencia 2026-07 (rezago 1 mes)); con periodo_referencia_max = 2026-M07, capturado el 2026-08-26, el ciclo que la publico cae ~2026-08-01. Aproximada a esa fecha (mes, dia 01 por convencion). Decision de Harold, 2026-08-25 (handoff Fase 2, Bloque 3): mismo patron de aproximacion que IVAE, aplicado a esta publicacion especifica."
"BCR.ISI.v2026-08","BCR.ISI","2026-08-01","2026-M07","https://estadisticas.bcr.gob.sv/serie/indice-subyacente-de-inflacion-isi-base-dic-2009","BCR_isi_2026-08-26.xlsx","7cd1ac8ca9f655a4fe361d065291b746dd51de21358e4cd9b856b9cd4bb12d89","8a98a0fa1e209e4ca2d34f9b0f2862b9eac703ef3c0783bbea6765c850718413","primera captura — sin vintage previo con el cual comparar","fecha_publicacion NO observada directamente en la fuente (mismo patron que BCR.IVAE.VIGENTE, ver .bcr_nota_ivae_vigente_fecha). Se aproxima por el rezago del calendario del BCR (doc/calendario_divulgacion_bcr.csv: ISI, fila 'Agosto',18 -> periodo_referencia 2026-07 (rezago 1 mes)); con periodo_referencia_max = 2026-M07, capturado el 2026-08-26, el ciclo que la publico cae ~2026-08-01. Aproximada a esa fecha (mes, dia 01 por convencion). Decision de Harold, 2026-08-25 (handoff Fase 2, Bloque 3): mismo patron de aproximacion que IVAE, aplicado a esta publicacion especifica."
"BCR.ITCER.v2026-07","BCR.ITCER","2026-07-01","2026-M06","https://estadisticas.bcr.gob.sv/serie/indice-de-tipo-de-cambio-efectivo-real-mensual","BCR_itcer_2026-08-26.xlsx","0e675be1b357ffe0792d656b558cba7e0f1c3719063efb0b92669882d046173a","34ce75cfc365ec14502c937dd99622bcac16ff0b6e7a2bc80150ea9572d8f2cd","primera captura — sin vintage previo con el cual comparar","fecha_publicacion NO observada directamente en la fuente (mismo patron que BCR.IVAE.VIGENTE, ver .bcr_nota_ivae_vigente_fecha). Se aproxima por el rezago del calendario del BCR (doc/calendario_divulgacion_bcr.csv: ITCER, fila 'Agosto',31 -> periodo_referencia 2026-07 (rezago 1 mes)); con periodo_referencia_max = 2026-M06, capturado el 2026-08-26, el ciclo que la publico cae ~2026-07-01. Aproximada a esa fecha (mes, dia 01 por convencion). Decision de Harold, 2026-08-25 (handoff Fase 2, Bloque 3): mismo patron de aproximacion que IVAE, aplicado a esta publicacion especifica."
"BCR.PANORAMA_BANCO_CENTRAL.v2026-08","BCR.PANORAMA_BANCO_CENTRAL","2026-08-01","2026-M07","https://estadisticas.bcr.gob.sv/serie/panorama-del-banco-central","BCR_panorama_banco_central_2026-08-26.xlsx","9dba770d21fd960bcb39f5542ca80afcdcf2b500269461d7eced2d2a19665f53","4582fc9ae0b5ed57a69e6ce17bb1ea99dcd460dce13b9655413dfa02260a56eb","primera captura — sin vintage previo con el cual comparar","fecha_publicacion NO observada directamente en la fuente (mismo patron que BCR.IVAE.VIGENTE, ver .bcr_nota_ivae_vigente_fecha). Se aproxima por el rezago del calendario del BCR (doc/calendario_divulgacion_bcr.csv: Panorama del Banco Central, fila 'Agosto',10 -> periodo_referencia 2026-07 (rezago 1 mes)); con periodo_referencia_max = 2026-M07, capturado el 2026-08-26, el ciclo que la publico cae ~2026-08-01. Aproximada a esa fecha (mes, dia 01 por convencion). Decision de Harold, 2026-08-25 (handoff Fase 2, Bloque 3): mismo patron de aproximacion que IVAE, aplicado a esta publicacion especifica."
